,Title,ID,Vote_Avg,Vote_Count,Popularity,release_year,Director,Gender,Revenue,Budget
311,Walk of Shame,187596,5.8,720,11.879,2014,Steven Brill,male,59209,15000000
312,Woody Woodpecker,462883,6.5,75,11.875,2017,Alex Zamm,male,0,10000000
313,The Blues Brothers,525,7.7,1517,11.873,1980,John Landis,male,115229890,27000000
314,Vicky Cristina Barcelona,5038,6.7,1523,11.869,2008,Woody Allen,male,96408652,15000000
315,Cloud Atlas,83542,6.8,3789,11.865,2012,Lilly Wachowski,female,130482868,102000000
316,The Wedding Ringer,252838,6.5,787,11.862,2015,Jeremy Garelick,male,79799880,23000000
317,Kingsglaive: Final Fantasy XV,390734,6.8,284,11.857,2016,Takeshi Nozue,male,269980,0
318,Sam Was Here,412766,5.4,54,11.851,2016,Christophe Deroo,male,0,0
319,The Hunt,103663,8.0,1287,11.848,2012,Thomas Vinterberg,male,18309793,3800000
320,The Pacifier,10022,5.9,1211,11.838,2005,Adam Shankman,male,198636868,56000000
321,Ideal Home,399725,6.8,15,11.836,2018,Andrew Fleming,male,0,10000000
322,Superbad,8363,7.0,2785,11.835,2007,Greg Mottola,male,121463226,20000000
323,North by Northwest,213,7.9,1456,11.834,1959,Alfred Hitchcock,male,13275000,4000000
324,Charlie's Angels: Full Throttle,9471,5.2,1280,11.834,2003,McG,,259175788,120000000
325,Antitrust,9989,6.0,213,11.833,2001,Peter Howitt,male,18195610,30000000
326,Gulebakavali,463958,9.0,1,11.831,2018,Kalyan,male,0,0
327,Commando,10999,6.5,998,11.826,1985,Mark L. Lester,male,57500000,10000000
328,Becoming Jane,2977,7.1,463,11.824,2007,Julian Jarrold,male,37311672,16500000
329,The Haunted House: The Secret of the Cave,535370,0.0,0,11.824,2018,김병갑,,0,0
330,Bicycle Thieves,5156,8.1,630,11.822,1948,Vittorio De Sica,male,361712,133000
331,Lara Croft: Tomb Raider – The Cradle of Life,1996,5.6,1956,11.821,2003,Jan de Bont,male,156505388,95000000
332,We Need to Talk About Kevin,71859,7.5,996,11.82,2011,Lynne Ramsay,female,10765283,7000000
333,Land of the Lost,18162,5.3,522,11.812,2009,Brad Silberling,male,68688831,100000000
334,A Knight's Tale,9476,6.7,1290,11.807,2001,Brian Helgeland,male,117487473,65000000
335,Going for Gold,506951,8.3,6,11.805,2018,Clay Glen,male,0,0
336,The Wall,405775,6.0,292,11.793,2017,Doug Liman,male,1803009,0
337,One Crazy Summer,531326,0.0,0,11.791,2018,,,0,0
338,Child 44,181283,6.1,738,11.789,2015,Daniel Espinosa,male,3324330,50000000
339,Titan A.E.,7450,6.5,405,11.787,2000,Don Bluth,male,36754634,75000000
340,Allied,369885,6.6,2093,11.782,2016,Robert Zemeckis,male,119520023,85000000
341,Dirty Dancing,88,7.2,2125,11.779,1987,Emile Ardolino,male,213893795,6000000
342,London Has Fallen,267860,5.8,2139,11.777,2016,Babak Najafi,male,205754447,60000000
